Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,108424,318368,0,22086,448878,48865,0,0,26883,75748,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,125587,246957,0,32565,405109,51306,0,0,0,51306,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Engineering Inspector Shift,False,False,,66379,79810,,107884,264208,0,20778,392870,44560,0,0,11785,56345,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Staff,False,False,,106182,127918,,121238,188530,0,20266,330034,47138,0,0,14310,61448,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Public Health,Staff Physician,False,False,,204108,233101,,221535,53160,0,34332,309027,10506,0,0,17954,28460,2% @ 62,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,County Executive Office,County Executive Officer,False,False,,0,0,,280559,0,0,7800,288359,44339,0,5000,11869,61208,2% @ 57,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,104497,160917,0,21329,286743,45988,0,0,23076,69064,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Sheriff,Sheriffs Commander,False,False,,159576,192824,,167993,108377,0,10291,286661,71373,0,0,31926,103299,3% @ 50,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Staff,False,False,,118134,173185,,130341,131884,0,22632,284857,54525,0,351,25438,80314,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
2020,County,Santa Barbara,Fire,Fire Captain Shift,False,False,,75841,91368,,120097,149652,0,11135,280884,45299,0,0,15520,60819,3% @ 55,http://co.santa-barbara.ca.us/hr,441172,10/08/2021,Santa Barbara,,False,
