survived,sex,age,class,who,alone
0,male,22,Third,man,FALSE
1,female,38,First,woman,FALSE
1,female,26,Third,woman,TRUE
1,female,35,First,woman,FALSE
0,male,35,Third,man,TRUE
0,male,,Third,man,TRUE
0,male,54,First,man,TRUE
0,male,2,Third,child,FALSE
1,female,27,Third,woman,FALSE
1,female,14,Second,child,FALSE
1,female,4,Third,child,FALSE
1,female,58,First,woman,TRUE
0,male,20,Third,man,TRUE
0,male,39,Third,man,FALSE
0,female,14,Third,child,TRUE
1,female,55,Second,woman,TRUE
0,male,2,Third,child,FALSE
1,male,,Second,man,TRUE
0,female,31,Third,woman,FALSE
1,female,,Third,woman,TRUE
0,male,35,Second,man,TRUE
1,male,34,Second,man,TRUE
1,female,15,Third,child,TRUE
1,male,28,First,man,TRUE
0,female,8,Third,child,FALSE
1,female,38,Third,woman,FALSE
0,male,,Third,man,TRUE
0,male,19,First,man,FALSE
1,female,,Third,woman,TRUE
0,male,,Third,man,TRUE
0,male,40,First,man,TRUE
1,female,,First,woman,FALSE
1,female,,Third,woman,TRUE
0,male,66,Second,man,TRUE
0,male,28,First,man,FALSE
0,male,42,First,man,FALSE
1,male,,Third,man,TRUE
0,male,21,Third,man,TRUE
0,female,18,Third,woman,FALSE
1,female,14,Third,child,FALSE
0,female,40,Third,woman,FALSE
0,female,27,Second,woman,FALSE
0,male,,Third,man,TRUE
1,female,3,Second,child,FALSE
1,female,19,Third,woman,TRUE
0,male,,Third,man,TRUE
0,male,,Third,man,FALSE
1,female,,Third,woman,TRUE
0,male,,Third,man,FALSE
0,female,18,Third,woman,FALSE
0,male,7,Third,child,FALSE
0,male,21,Third,man,TRUE
1,female,49,First,woman,FALSE
1,female,29,Second,woman,FALSE
0,male,65,First,man,FALSE
1,male,,First,man,TRUE
1,female,21,Second,woman,TRUE
0,male,28.5,Third,man,TRUE
1,female,5,Second,child,FALSE
0,male,11,Third,child,FALSE
0,male,22,Third,man,TRUE
1,female,38,First,woman,TRUE
0,male,45,First,man,FALSE
0,male,4,Third,child,FALSE
0,male,,First,man,TRUE
1,male,,Third,man,FALSE
1,female,29,Second,woman,TRUE
0,male,19,Third,man,TRUE
1,female,17,Third,woman,FALSE
0,male,26,Third,man,FALSE
0,male,32,Second,man,TRUE
0,female,16,Third,woman,FALSE
0,male,21,Second,man,TRUE
